jid,formula,spg,dim,norb,nk,group,band,rank,W_band,W_group_max,W_span,d_iso,M_trg,lam,nphi,unif,Emid,M_manifold_diag,lam_manifold_diag,Tc_R1.00,binds_R1.00,cap_R1.00,U_R1.00,Tc_R0.85,binds_R0.85,cap_R0.85,U_R0.85,Tc_R0.55,binds_R0.55,cap_R0.55,U_R0.55
JVASP-949,O,12,3,48,24,46-47,46,2,0.12588151948238036,0.12588151948237858,0.12620893958698254,0.10259137283607167,0.9998957499869889,0.0901931945705528,11.561622383210194,0.08296894216868028,10.513106662136693,1.5083121606324061,0.05516245061882878,13.422190900084622,amp,iso,0.051295686418035835,13.422190900084622,amp,iso,0.051295686418035835,13.422190900084622,amp,iso,0.051295686418035835
JVASP-949,O,12,3,48,24,46-47,47,2,0.12464726332475884,0.12588151948237858,0.12620893958698254,0.10259137283607167,0.9997999599019043,0.09031926225495739,11.546890827256618,0.08604681215424052,10.51449820443711,1.5083121606324061,0.05516245061882878,13.44095178924557,amp,iso,0.051295686418035835,13.44095178924557,amp,iso,0.051295686418035835,13.44095178924557,amp,iso,0.051295686418035835
JVASP-2817,K4IrO4,12,3,84,16,25-26,25,2,0.2217045064393215,0.22170450643931294,0.7565783353762104,0.0781593675894181,0.7249269020574729,0.09472733989128855,10.558150829340667,0.13743079801241154,0.6410492010580484,1.3324783552158173,0.04231141340158791,10.739774899520398,amp,iso,0.03907968379470905,10.739774899520398,amp,iso,0.03907968379470905,10.739774899520398,amp,iso,0.03907968379470905
JVASP-2817,K4IrO4,12,3,84,16,25-26,26,2,0.10077754714456888,0.22170450643931294,0.7565783353762104,0.0781593675894181,0.6081831731020036,0.055284224596562154,18.23367713030411,0.14214458321869855,1.2406503765859145,1.3324783552158173,0.04231141340158791,6.26788557921079,amp,iso,0.03907968379470905,6.26788557921079,amp,iso,0.03907968379470905,6.26788557921079,amp,iso,0.03907968379470905
JVASP-2817,K4IrO4,12,3,84,16,26-27,26,2,0.10077754714456888,0.11890891964577222,0.2978458343797592,0.09172228443342445,0.6081831731020036,0.055284224596562154,18.23367713030411,0.14214458321869855,1.2406503765859145,1.1203981741347087,0.054822558386018454,7.3555454915216965,amp,iso,0.045861142216712225,7.3555454915216965,amp,iso,0.045861142216712225,7.3555454915216965,amp,iso,0.045861142216712225
JVASP-2817,K4IrO4,12,3,84,16,26-27,27,2,0.11890891964577266,0.11890891964577222,0.2978458343797592,0.09172228443342445,0.6069415979814163,0.055515479206421275,18.074983768977997,0.1293848230138711,1.4208001147388276,1.1203981741347087,0.054822558386018454,7.386313831230828,amp,iso,0.045861142216712225,7.386313831230828,amp,iso,0.045861142216712225,7.386313831230828,amp,iso,0.045861142216712225
JVASP-2817,K4IrO4,12,3,84,16,27-28,27,2,0.11890891964577266,0.23260219645206748,0.44323340053126414,0.0781593675894181,0.6069415979814163,0.055515479206421275,18.074983768977997,0.1293848230138711,1.4208001147388276,1.1565014322454314,0.051355461701347346,6.294104223766983,amp,iso,0.03907968379470905,6.294104223766983,amp,iso,0.03907968379470905,6.294104223766983,amp,iso,0.03907968379470905
JVASP-2817,K4IrO4,12,3,84,16,27-28,28,2,0.23260219645206592,0.23260219645206748,0.44323340053126414,0.0781593675894181,0.5720624118586557,0.07302491324446808,13.717873132705451,0.1856509166594416,1.7347062297859783,1.1565014322454314,0.051355461701347346,8.27924790459272,amp,iso,0.03907968379470905,8.27924790459272,amp,iso,0.03907968379470905,8.27924790459272,amp,iso,0.03907968379470905
JVASP-2817,K4IrO4,12,3,84,16,28-29,28,2,0.23260219645206592,0.23260219645206748,0.7261768677108975,0.09172228443342445,0.5720624118586557,0.07302491324446808,13.717873132705451,0.1856509166594416,1.7347062297859783,1.1232262703850977,0.04556382463187496,9.715937508464433,amp,iso,0.045861142216712225,9.715937508464433,amp,iso,0.045861142216712225,9.715937508464433,amp,iso,0.045861142216712225
JVASP-2817,K4IrO4,12,3,84,16,28-29,29,2,0.13757762069719437,0.23260219645206748,0.7261768677108975,0.09172228443342445,0.5540174019915403,0.05971964814952282,16.790069122896362,0.15106877677081348,2.238253662168526,1.1232262703850977,0.04556382463187496,7.9456769432341945,amp,iso,0.045861142216712225,7.9456769432341945,amp,iso,0.045861142216712225,7.9456769432341945,amp,iso,0.045861142216712225
JVASP-2817,K4IrO4,12,3,84,16,30-31,30,2,0.13250321333152648,0.24799251242257903,0.34593600345931463,0.2316251766129529,0.5706155437110139,0.05906863160032471,16.951437684986146,0.1113938827441404,2.592344076706902,0.9966636663578856,0.06178088475368658,19.846387828424596,amp,iso,0.11581258830647645,19.846387828424596,amp,iso,0.11581258830647645,19.846387828424596,amp,iso,0.11581258830647645
JVASP-2817,K4IrO4,12,3,84,16,30-31,31,2,0.24799251242257414,0.24799251242257903,0.34593600345931463,0.2316251766129529,0.5459040374957023,0.07696747020032299,13.03190265774148,0.16616453183050856,2.7864474384225986,0.9966636663578856,0.06178088475368658,25.860193852195582,amp,iso,0.11581258830647645,25.860193852195582,amp,iso,0.11581258830647645,25.860193852195582,amp,iso,0.11581258830647645
JVASP-4438,CrSiTe3,148,3,88,16,14-15,14,2,0.19273679559260837,0.19273679559261037,0.24120853251815155,1.102517693484331,0.24979540779101483,0.06676051229060577,14.990608553014834,0.1190145872368142,-0.6678337445593718,0.4970842888143475,0.03374135295391697,106.76871819837855,amp,iso,0.5512588467421655,96.84082063205088,amp,adiab,0.5,34.86269542753832,amp,adiab,0.18
JVASP-4438,CrSiTe3,148,3,88,16,14-15,15,2,0.188136184082065,0.19273679559261037,0.24120853251815155,1.102517693484331,0.24746320254653092,0.06812935092676431,14.6882883159647,0.117193785193883,-0.6119031901131093,0.4970842888143475,0.03374135295391697,108.95787375738449,amp,iso,0.5512588467421655,98.82641739112644,amp,adiab,0.5,35.57751026080552,amp,adiab,0.18
JVASP-4456,Nb2CS2,166,3,44,24,0-1,0,2,0.4674507883297254,0.4674507883297139,0.4802898753831695,4.100962361043454,0.17383118447481416,0.8033821687718397,1.2447886669599957,0.8730692088938105,-5.3668237827106715,0.3260589895703737,0.4024898314671303,1115.026600193257,stiff,phys,1.5,315.92420338808944,stiff,adiab,0.5,73.59175561275497,stiff,adiab,0.18
JVASP-4456,Nb2CS2,166,3,44,24,0-1,1,2,0.46665884387432044,0.4674507883297139,0.4802898753831695,4.100962361043454,0.17644586629766085,0.800178013285741,1.2497635971610703,0.8712582726405629,-5.355435456128968,0.3260589895703737,0.4024898314671303,1131.798273194992,stiff,phys,1.5,320.6761774052477,stiff,adiab,0.5,74.69868603086948,stiff,adiab,0.18
JVASP-4501,VAgP2Se6,5,3,88,16,0-1,0,2,0.2566753753641322,0.2566753753641233,0.2610217478192265,0.7735444742071955,1.170920542343305,0.037188315563863095,30.691634300256265,0.04695838845355986,-11.694573281542482,1.2015843024546693,0.024208058542012936,41.728290777708416,amp,iso,0.38677223710359776,41.728290777708416,amp,iso,0.38677223710359776,19.419936643424727,amp,adiab,0.18
JVASP-4501,VAgP2Se6,5,3,88,16,0-1,1,2,0.24673869007301086,0.2566753753641233,0.2610217478192265,0.7735444742071955,1.1729643026983723,0.03819928979323144,29.965828435772572,0.04749791957102743,-11.689046481149951,1.2015843024546693,0.024208058542012936,42.86268543829492,amp,iso,0.38677223710359776,42.86268543829492,amp,iso,0.38677223710359776,19.947872775642196,amp,adiab,0.18
JVASP-4501,VAgP2Se6,5,3,88,16,2-3,2,2,0.31197525704032536,0.31197525704037155,0.32843875125926125,0.6274848274000746,0.6467284731860508,0.03713334629871924,26.931541938048856,0.05379212909814622,-10.627400846499466,1.2921980682078182,0.019075188534854987,33.799176356049806,amp,iso,0.3137424137000373,33.799176356049806,amp,iso,0.3137424137000373,19.39123140011797,amp,adiab,0.18
JVASP-4501,VAgP2Se6,5,3,88,16,2-3,3,2,0.28821289329865607,0.31197525704037155,0.32843875125926125,0.6274848274000746,0.6460319221156577,0.03909132599523067,25.582874728434188,0.05256581534473306,-10.603004020364114,1.2921980682078182,0.019075188534854987,35.58135080732562,amp,iso,0.3137424137000373,35.58135080732562,amp,iso,0.3137424137000373,20.41369883589268,amp,adiab,0.18
JVASP-4501,VAgP2Se6,5,3,88,16,14-15,14,2,0.4479436510938646,0.45181747358927815,0.45636241503055164,1.2874899153481802,0.7870671504939336,0.0551716148105867,18.392707735687168,0.08365991345513712,-5.0280279128853405,1.2250067106069498,0.030429752715750467,103.03821626568744,amp,iso,0.6437449576740901,80.03030939300405,amp,adiab,0.5,28.810911381481457,amp,adiab,0.18
JVASP-4501,VAgP2Se6,5,3,88,16,14-15,15,2,0.45181747358927904,0.45181747358927815,0.45636241503055164,1.2874899153481802,0.7869606493758282,0.053587479684297765,18.935631370228766,0.08494011863919378,-5.021682705823094,1.2250067106069498,0.030429752715750467,100.07969387519707,amp,iso,0.6437449576740901,77.73240992581458,amp,adiab,0.5,27.98366757329325,amp,adiab,0.18
JVASP-5311,HgPS3,2,3,88,16,2-3,2,2,0.2777240576501221,0.27772405765012653,0.27854039188651125,0.6241581222622052,0.19220774391082632,0.044979656391487474,22.245509585189627,0.07136429284685834,-5.334476896455089,0.33675458432363253,0.023043381330729983,40.72391856107774,amp,iso,0.3120790611311026,40.72391856107774,amp,iso,0.3120790611311026,23.488616360309337,amp,adiab,0.18
JVASP-5311,HgPS3,2,3,88,16,2-3,3,2,0.27758451373907,0.27772405765012653,0.27854039188651125,0.6241581222622052,0.19206693699309557,0.045057258454492946,22.207199086725474,0.07152115637519167,-5.3335637424046105,0.33675458432363253,0.023043381330729983,40.79417832621469,amp,iso,0.3120790611311026,40.79417832621469,amp,iso,0.3120790611311026,23.529140571317956,amp,adiab,0.18
JVASP-5314,UCl5,2,3,92,16,60-61,60,2,0.006501581342464258,0.008946373423623255,0.0159937936936021,0.3529196815369513,0.6816623437865348,0.052088424632549986,19.21201129862012,0.07902343814008178,1.4844763738472204,0.203041037861469,0.0493973362784829,26.66587886153585,amp,iso,0.17645984076847565,26.66587886153585,amp,iso,0.17645984076847565,26.66587886153585,amp,iso,0.17645984076847565
JVASP-5314,UCl5,2,3,92,16,60-61,61,2,0.00894637342362059,0.008946373423623255,0.0159937936936021,0.3529196815369513,0.6790112140018763,0.04797965007821578,20.842931469405197,0.0606259277849504,1.4928430925357992,0.203041037861469,0.0493973362784829,24.5624540544287,amp,iso,0.17645984076847565,24.5624540544287,amp,iso,0.17645984076847565,24.5624540544287,amp,iso,0.17645984076847565
JVASP-5335,NbSe2Cl2,2,3,80,16,4-5,4,2,0.14821460842754064,0.1482276309952315,0.1484128135069227,0.24269399645971568,1.9527560034568208,0.06628788303265272,15.873166440639753,0.09250104629745744,-8.865493168261008,1.878465847605312,0.040723531219230745,23.336299145394534,amp,iso,0.12134699822985784,23.336299145394534,amp,iso,0.12134699822985784,23.336299145394534,amp,iso,0.12134699822985784
JVASP-5335,NbSe2Cl2,2,3,80,16,4-5,5,2,0.14822763099521907,0.1482276309952315,0.1484128135069227,0.24269399645971568,1.952973162991381,0.06573360640105215,16.002796008469417,0.09265487699935844,-8.86533870016192,1.878465847605312,0.040723531219230745,23.141168984457565,amp,iso,0.12134699822985784,23.141168984457565,amp,iso,0.12134699822985784,23.141168984457565,amp,iso,0.12134699822985784
JVASP-5335,NbSe2Cl2,2,3,80,16,6-7,6,2,0.17718255279452677,0.1772539600544878,0.17731421623669696,0.24269399645971568,2.076749785473165,0.060182631524669475,17.83170653967369,0.07194729607240051,-8.45608796319199,1.8381060530261648,0.03781088089690655,21.186977594757792,amp,iso,0.12134699822985784,21.186977594757792,amp,iso,0.12134699822985784,21.186977594757792,amp,iso,0.12134699822985784
JVASP-5335,NbSe2Cl2,2,3,80,16,6-7,7,2,0.1772539600544789,0.1772539600544878,0.17731421623669696,0.24269399645971568,2.0769075865785593,0.059740388467176886,17.95666279283258,0.07221944420853292,-8.455921816486299,1.8381060530261648,0.03781088089690655,21.031288261919432,amp,iso,0.12134699822985784,21.031288261919432,amp,iso,0.12134699822985784,21.031288261919432,amp,iso,0.12134699822985784
JVASP-5335,NbSe2Cl2,2,3,80,16,52-53,52,2,0.38351795742615247,0.3835179574261618,0.3836197605249292,0.2749744170126003,2.3169575610736093,0.06043137504414274,16.990579814518775,0.10188284164765125,2.7975504414193395,1.55778915544793,0.05712714678713787,24.10424686681581,amp,iso,0.13748720850630014,24.10424686681581,amp,iso,0.13748720850630014,24.10424686681581,amp,iso,0.13748720850630014
JVASP-5335,NbSe2Cl2,2,3,80,16,52-53,53,2,0.3834601312100294,0.3835179574261618,0.3836197605249292,0.2749744170126003,2.317008156429078,0.06029697971999601,17.00382815670987,0.10141802008195831,2.797926483633113,1.55778915544793,0.05712714678713787,24.05064063878257,amp,iso,0.13748720850630014,24.05064063878257,amp,iso,0.13748720850630014,24.05064063878257,amp,iso,0.13748720850630014
JVASP-5335,NbSe2Cl2,2,3,80,16,54-55,54,2,0.477910035761254,0.47837162839350844,0.47859650398010967,0.13140332484849004,2.6323313243465667,0.046634221432568256,22.50147266258616,0.0778144783195008,4.066169812123777,2.126212023115448,0.04276969851364453,8.888938165028755,amp,iso,0.06570166242424502,8.888938165028755,amp,iso,0.06570166242424502,8.888938165028755,amp,iso,0.06570166242424502
JVASP-5335,NbSe2Cl2,2,3,80,16,54-55,55,2,0.47837162839351244,0.47837162839350844,0.47859650398010967,0.13140332484849004,2.63252926668799,0.04673205279969566,22.476925897225613,0.07814990495684698,4.066479061561173,2.126212023115448,0.04276969851364453,8.907585779297456,amp,iso,0.06570166242424502,8.907585779297456,amp,iso,0.06570166242424502,8.907585779297456,amp,iso,0.06570166242424502
JVASP-5365,CrCl3,12,3,60,20,56-57,56,2,0.2605285633999497,0.2605285633999497,0.30890052436318705,2.4396843286197907,0.9636199642225053,0.4375496945334868,2.285480471906063,0.45091608249079496,9.006882766083256,0.147372670639994,0.4362881702194829,1548.4593967160888,amp,iso,1.2198421643098953,634.696619784455,amp,adiab,0.5,228.49078312240383,amp,adiab,0.18
JVASP-5365,CrCl3,12,3,60,20,56-57,57,2,0.12550625381889446,0.2605285633999497,0.30890052436318705,2.4396843286197907,0.9617513450945725,0.4350330492788811,2.2986816195393547,0.4495566093744979,9.07634287123452,0.147372670639994,0.4362881702194829,1539.5531557990428,amp,iso,1.2198421643098953,631.0460487607503,amp,adiab,0.5,227.1765775538701,amp,adiab,0.18
JVASP-5365,CrCl3,12,3,60,20,58-59,58,2,0.3904869640492006,0.3904869640492006,0.4796764956481585,2.4396843286197907,0.9754512287828181,0.4571815763035478,2.1873423510162797,0.4613789589756769,11.874182034461056,0.10314524171703668,0.4552261026280668,1617.9353263804476,amp,iso,1.2198421643098953,663.1740456749036,amp,adiab,0.5,238.74265644296528,amp,adiab,0.18
JVASP-5365,CrCl3,12,3,60,20,58-59,59,2,0.16788513009917772,0.3904869640492006,0.4796764956481585,2.4396843286197907,0.9747538946709867,0.4532896311855266,2.206104709439131,0.4593148681040074,11.96603005707682,0.10314524171703668,0.4552261026280668,1604.1619903118929,amp,iso,1.2198421643098953,657.5285054273476,amp,adiab,0.5,236.71026195384513,amp,adiab,0.18
JVASP-5668,TaCl4,12,3,72,16,48-49,48,2,0.05382282015183937,0.053864966817914084,0.05504470004093398,1.045536435554361,0.1787533446232617,0.12092621065127522,8.281249823591914,0.15672277216264022,1.8646880359343307,0.3552261578722701,0.06071817380573552,183.39961363975678,amp,iso,0.5227682177771805,175.41197743387607,amp,adiab,0.5,63.148311876195386,amp,adiab,0.18
JVASP-5668,TaCl4,12,3,72,16,48-49,49,2,0.05386496681790898,0.053864966817914084,0.05504470004093398,1.045536435554361,0.17849396082709504,0.12083371956513855,8.287670421573997,0.1566291052178483,1.8658951974676183,0.3552261578722701,0.06071817380573552,183.259339423181,amp,iso,0.5227682177771805,175.27781260536733,amp,adiab,0.5,63.10001253793223,amp,adiab,0.18
JVASP-5668,TaCl4,12,3,72,16,50-51,50,2,0.4646397591624001,0.4646397591623952,0.46514155266414203,0.05743187657871074,0.26563364756468366,0.06744611424551909,14.92495605780755,0.1003614937392745,3.1640087237579664,0.5270753292191327,0.03606629747617573,5.618866856588311,amp,iso,0.02871593828935537,5.618866856588311,amp,iso,0.02871593828935537,5.618866856588311,amp,iso,0.02871593828935537
JVASP-5668,TaCl4,12,3,72,16,50-51,51,2,0.46458487917209634,0.4646397591623952,0.46514155266414203,0.05743187657871074,0.2658379346656797,0.0673981567500839,14.93597150276054,0.10047653478018584,3.164564460401218,0.5270753292191327,0.03606629747617573,5.614871566649963,amp,iso,0.02871593828935537,5.614871566649963,amp,iso,0.02871593828935537,5.614871566649963,amp,iso,0.02871593828935537
